pipeline_id,pipeline_name,topology_class,n_waypoints_stated,n_segments_stated,n_segments_drawable,n_segments_gap,route_geometry_status,straight_line_total_km,straight_line_drawn_km,authorized_length_km,sinuosity_ratio,length_excess_km,sinuosity_flag,centroid_allowance_km,path_assumption,geometry_note
21.17.NGPL,Jamnagar to Dwarka (Gujarat),linear,2,1,1,0,complete,116.109,116.109,100.0,0.861,16.109,REVIEW_marginally_shorter_within_centroid_tolerance,20.0,printed order read as a traversal,"'(Gujarat)' is a state qualifier in the name, not a waypoint; dropped."
42.01.NGPL,North-East Natural Gas Pipeline Grid,areal,0,0,0,0,not_applicable_areal,NA,NA,1688.0,NA,NA,NA_areal,NA,no route stated by the register,"North-East Natural Gas Pipeline Grid -- multi-state grid, no route stated"
5.01.NGPL,Mehsana-Bhatinda,linear,2,1,1,0,complete,774.907,774.907,1943.0,2.507,-1168.093,REVIEW_high_ratio_length_unexplained_by_named_points,20.0,printed order read as a traversal,
5.02.NGPL,Bhatinda-Gurdaspur,linear,2,1,1,0,complete,207.872,207.872,261.0,1.256,-53.128,ok,20.0,printed order read as a traversal,
5.03.NGPL,Mallavaram-Bhopal-Bhilwara-Vijaipur,linear,4,3,2,1,partial,NA,1234.926,1881.0,NA,NA,NA_incomplete_geometry,40.0,printed order read as a traversal,
5.05.NGPL,Shahdol-Phulpur,linear,2,1,1,0,complete,260.485,260.485,312.0,1.198,-51.515,ok,20.0,printed order read as a traversal,
5.07.NGPL,Ennore - Nellore,linear,2,1,1,0,complete,138.056,138.056,220.0,1.594,-81.944,ok,20.0,printed order read as a traversal,
5.08.NGPL,Ennore-Tuticorin,linear,2,1,1,0,complete,550.506,550.506,1431.0,2.599,-880.494,REVIEW_high_ratio_length_unexplained_by_named_points,20.0,printed order read as a traversal,
5.10.NGPL,Kakinada-Vijayawada-Nellore,linear,3,2,2,0,complete,415.375,415.375,667.0,1.606,-251.625,REVIEW_high_ratio_length_unexplained_by_named_points,30.0,printed order read as a traversal,
5.11.NGPL,Kanai - Chhata - Panitar,linear,2,1,0,1,none_all_segments_gapped,NA,NA,317.0,NA,NA,NA_incomplete_geometry,20.0,printed order read as a traversal,"RESOLVED 2026-09-04. The register prints 'Kanai - Chhata - Panitar', which reads as three waypoints; it is two. 'Kanai Chhata' is a single locality near Contai, Purba Medinipur district, West Bengal. Source: Global Energy Monitor, Kanai Chhata-Shrirampur Gas Pipeline, https://www.gem.wiki/Kanai_Chhata-Shrirampur_Gas_Pipeline -- gives the route as 'from Kanai Chhata near Contai, West Bengal to Panitar, West Bengal' at 317 km, matching the register's 317 km, and records that PNGRB amended the termination point from Shrirampur to Panitar in 2022. The register cannot settle this reading on its own; provenance for the SPLIT is therefore external and cited, while both place names remain source-derived."
5.12.NGPL,Srikakulam-Angul,linear,2,1,1,0,complete,308.466,308.466,690.0,2.237,-381.534,REVIEW_high_ratio_length_unexplained_by_named_points,20.0,printed order read as a traversal,
5.13.NGPL,Mumbai-Nagpur-Jharsuguda,linear,3,2,2,0,complete,1203.945,1203.945,1755.0,1.458,-551.055,ok,30.0,printed order read as a traversal,
5.14.NGPL,Hazaribagh-Ranchi,linear,2,1,1,0,complete,72.104,72.104,71.0,0.985,1.104,REVIEW_marginally_shorter_within_centroid_tolerance,20.0,printed order read as a traversal,
5.15.NGPL,Gurdaspur-Jammu,linear,2,1,1,0,complete,92.479,92.479,160.0,1.73,-67.521,REVIEW_high_ratio_length_unexplained_by_named_points,20.0,printed order read as a traversal,
