offtake_id,pdf_s_no,ga_id,ga_name,cgd_entity,stpl_length_km,status,tap_from_verbatim,transmission_entity,tap_acronym_expansion,pipeline_id,pipeline_name_matched,link_basis,link_provenance_category,pdf_page,source_document,provenance_category
OT-OP-026,18,9.58,Bhilwara & Bundi Districts,ATGL,0.88,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-027,19,9.59,Chittorgarh (Other than Rawatbhata Taluka) & Udaipur Districts,ATGL,0.45,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-028,20,9.70,"Jangaon, Jayashankar Bhupalpally, Mahabubabad, Warangal Urban & Warangal Rural Districts",MCGDPL,1.319,Operational,MBBVPL,GITL,Mallavaram-Bhopal-Bhilwara-Vijaipur,5.03.NGPL,Mallavaram-Bhopal-Bhilwara-Vijaipur,"acronym 'MBBVPL' expands to 'Mallavaram-Bhopal-Bhilwara-Vijaipur', the register's own name for 5.03.NGPL; transmission entity GITL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-029,21,9.71,"Medak, Siddipet & Sangareddy Districts",TGPL,17.4,Operational,EWPL,PIL,Kakinada-Hyderabad-Uran-Ahmedabad (East West),17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),"acronym 'EWPL' expands to 'Kakinada-Hyderabad-Uran-Ahmedabad (East West)', the register's own name for 17.04.NGPL; transmission entity PIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-030,22,9.73,Nalgonda Suryapet & Yadadri Bhuvanagiri Districts,MCGDPL,2.8,Operational,EWPL,PIL,Kakinada-Hyderabad-Uran-Ahmedabad (East West),17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),"acronym 'EWPL' expands to 'Kakinada-Hyderabad-Uran-Ahmedabad (East West)', the register's own name for 17.04.NGPL; transmission entity PIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-031,23,9.78,"Amethi, Pratapgarh & Raebareli Districts",BPCL,0.75,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-032,24,9.79,"Auraiya, Kanpur Dehat & Etawah Districts",TGPL,2.5,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-033,25,9.40,Latur & Osmanabad Districts,UEPL,11.865,Operational,EWPL,PIL,Kakinada-Hyderabad-Uran-Ahmedabad (East West),17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),"acronym 'EWPL' expands to 'Kakinada-Hyderabad-Uran-Ahmedabad (East West)', the register's own name for 17.04.NGPL; transmission entity PIL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-034,26,10.33,Hoshiarpur and Gurdaspur Districts,GGL,0.123,Operational,BGPL,GIGL,Bhatinda-Gurdaspur,5.02.NGPL,Bhatinda-Gurdaspur,"acronym 'BGPL' expands to 'Bhatinda-Gurdaspur', the register's own name for 5.02.NGPL; transmission entity GIGL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-035,27,98.02,"Surat, Bharuch, Ankleshwar",GGL,25.87,Operational,HAPi,GGL,Hazira-Ankleshwar (HAPi),18.02.NGPL,Hazira-Ankleshwar (HAPi),"acronym 'HAPi' expands to 'Hazira-Ankleshwar (HAPi)', the register's own name for 18.02.NGPL; transmission entity GGL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-036,27,98.02,"Surat, Bharuch, Ankleshwar",GGL,10.43,Operational,Mora-Sachin STPL,GGL CGD,NA,UNKNOWN,UNKNOWN,"NOT A TRANSMISSION PIPELINE: another CGD spur line, not a transmission pipeline",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-037,27,98.02,"Surat, Bharuch, Ankleshwar",GGL,21.6,Operational,HAPi,GGL,Hazira-Ankleshwar (HAPi),18.02.NGPL,Hazira-Ankleshwar (HAPi),"acronym 'HAPi' expands to 'Hazira-Ankleshwar (HAPi)', the register's own name for 18.02.NGPL; transmission entity GGL matches that pipeline's operator",C,10,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-038,27,98.02,"Surat, Bharuch, Ankleshwar",GGL,11.52,Operational,Connected with Sunpertro Source,GGL,NA,UNKNOWN,UNKNOWN,"NOT A TRANSMISSION PIPELINE: a gas source, not a transmission pipeline",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-039,27,98.02,"Surat, Bharuch, Ankleshwar",GGL,11.0,Operational,Connected with GAIL APM Source,GGL,NA,UNKNOWN,UNKNOWN,"NOT A TRANSMISSION PIPELINE: a gas source (APM allocation), not a pipeline",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-040,28,98.08,Ahmedabad City and Daskroi Area,ATGL,0.38,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-041,29,98.11,Anand area including Kanjari & Vadtal Villages (in Kheda District),CGSML,6.2,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-042,30,98.12,Bhiwadi District,Haryana City Gas (Bhiwadi) Private Limited,2.23,Operational,CJHPL,GAIL,Chainsa-Jhajjar-Hissar,17.09.NGPL,Chainsa-Jhajjar-Hissar,"acronym 'CJHPL' expands to 'Chainsa-Jhajjar-Hissar', the register's own name for 17.09.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-043,31,99.18,Vadodara,VGL,0.423,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-044,31,99.18,Vadodara,VGL,14.59,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-045,31,99.18,Vadodara,VGL,3.62,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-046,31,99.18,Vadodara,VGL,13.26,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-047,31,99.18,Vadodara,VGL,33.58,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-048,32,99.04,Kanpur,CUGL,8.89,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-049,33,99.09,Hyderabad,BGL,3.23,Operational,EWPL,PIL,Kakinada-Hyderabad-Uran-Ahmedabad (East West),17.04.NGPL,Kakinada-Hyderabad-Uran-Ahmedabad (East West Pipeline),"acronym 'EWPL' expands to 'Kakinada-Hyderabad-Uran-Ahmedabad (East West)', the register's own name for 17.04.NGPL; transmission entity PIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-050,34,96.04,Faridabad (Based on court order),ATGL,0.55,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-051,35,96.07,Vadodara (Sub judice),ATGL,0.36,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-052,36,9.41,Sangli & Satara Districts,BPCL,0.09,Operational,DBPL,GAIL,Dabhol-Bangalore,17.16.NGPL,Dabhol-Bangalore,"acronym 'DBPL' expands to 'Dabhol-Bangalore', the register's own name for 17.16.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-053,37,10.40,Gonda and Barabanki Districts,TGPL,19.04,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,11,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-054,38,9.11,Junagadh District,TGPL,56.0,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-055,39,9.56,Alwar (other than Bhiwadi) & Jaipur District,TGPL,2.43,Operational,MBPL,GIGL,Mehsana-Bhatinda,5.01.NGPL,Mehsana-Bhatinda,"acronym 'MBPL' expands to 'Mehsana-Bhatinda', the register's own name for 5.01.NGPL; transmission entity GIGL matches that pipeline's operator",C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-056,40,9.62,Chennai and Thiruvallur Districts,TGPL,1.31,Operational,EMPL,IOCL,NA,UNKNOWN,UNKNOWN,UNMAPPED: not expandable to any pipeline name in the register,C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-057,41,9.20,Nuh & Palwal Districts,ATGL,0.25,Operational,CJHPL,GAIL,Chainsa-Jhajjar-Hissar,17.09.NGPL,Chainsa-Jhajjar-Hissar,"acronym 'CJHPL' expands to 'Chainsa-Jhajjar-Hissar', the register's own name for 17.09.NGPL; transmission entity GAIL matches that pipeline's operator",C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-058,42,9.08,Surendranagar District (EAAA) & Morbi District (EAAA),ATGL,13.9,Operational,HPGGG,GSPL,High Pressure Gujarat Gas Grid,18.01.NGPL,High Pressure Gujarat Gas Grid,"acronym 'HPGGG' expands to 'High Pressure Gujarat Gas Grid', the register's own name for 18.01.NGPL; transmission entity GSPL matches that pipeline's operator",C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-059,43,9.16,"Bhiwani, Charkhi Dadri & Mahendragarh Districts",ATGL,1.3,Operational,CJHPL,GAIL,Chainsa-Jhajjar-Hissar,17.09.NGPL,Chainsa-Jhajjar-Hissar,"acronym 'CJHPL' expands to 'Chainsa-Jhajjar-Hissar', the register's own name for 17.09.NGPL; transmission entity GAIL matches that pipeline's operator",C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-060,44,10.31,"Jhansi (EAAA) District, Bhind, Jalaun, Lalitpur and Datia Districts",ATGL,3.8,Operational,HVJ,GAIL,Hazira-Vijaipur-Jagdishpur,17.03.NGPL,Hazira-Vijaipur-Jagdishpur -GREP (Gas Rehabilitation and Expansion Project)-Dahej-Vijaipur HVJ/VDPL,"acronym 'HVJ' expands to 'Hazira-Vijaipur-Jagdishpur', the register's own name for 17.03.NGPL; transmission entity GAIL matches that pipeline's operator",C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
OT-OP-061,45,10.12,Sirsa-Fatehabad-Mansa Districts,GGL,0.848,Operational,MBPL,GIGL,Mehsana-Bhatinda,5.01.NGPL,Mehsana-Bhatinda,"acronym 'MBPL' expands to 'Mehsana-Bhatinda', the register's own name for 5.01.NGPL; transmission entity GIGL matches that pipeline's operator",C,12,20251231_NGPL.pdf,"A (all columns except pipeline_id / pipeline_name_matched / link_basis, which are C)"
