node_id,node_name,gazetteer_name,alias_note,pipelines,n_pipelines,roles,latitude,longitude,state_ut,geonameid,coordinate_source,coordinate_method,coordinate_accuracy,coordinate_date,n_matches_in_state,n_matches_country,legacy_lat,legacy_lon,legacy_delta_km,status,node_class,facility_type,coordinate_status,name_provenance,coordinate_provenance
N012,Dabhol,Dabhol,,17.05.NGPL;17.16.NGPL,2,origin;terminus,17.58971,73.18001,Maharashtra,1273765,"GeoNames IN.txt (2026-09-06), geonameid 1273765","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,17.589,73.18,0.08,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N013,Dadri,Dadri,,17.10.NGPL;17.11.NGPL;17.12.NGPL,3,origin;terminus,28.55257,77.55403,Uttar Pradesh,1273724,"GeoNames IN.txt (2026-09-06), geonameid 1273724","populated-place centroid, 14 in-state homonyms; resolved by agreement with the legacy node table (0.6 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,14,18,28.547,77.554,0.62,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N014,Dahej,Dahej,,17.03.NGPL;17.05.NGPL;17.11.NGPL,3,origin;terminus,21.7119,72.59113,Gujarat,1273703,"GeoNames IN.txt (2026-09-06), geonameid 1273703","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,21.7129,72.582,0.95,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N015,Dhamra,Dhamara,"gazetteer spells it Dhamara; 5.59 km from the legacy node table. The register means Dhamra port, Bhadrak district, Odisha",17.20.NGPL,1,intermediate,20.7955,86.89654,Odisha,1273028,"GeoNames IN.txt (2026-09-06), geonameid 1273028","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,20.79,86.95,5.59,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N016,Dukli,Dukli,,17.18.NGPL,1,origin,23.7984,91.29642,Tripura,13494748,"GeoNames IN.txt (2026-09-06), geonameid 13494748","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,23.86,91.31,6.99,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N017,Dwarka,Dwarka,,21.17.NGPL,1,terminus,22.23944,68.96778,Gujarat,1272140,"GeoNames IN.txt (2026-09-06), geonameid 1272140","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,5,,,,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N018,Ennore,Ennur,"gazetteer spells it Ennur; 3.76 km from the legacy node table. Ennore is now administratively part of Chennai and its port was renamed Kamarajar Port. A railway station 'Ennur' (geonameid 1272038) lies 0.21 km from the legacy point and corroborates; the POPULATED PLACE is used instead, so that every node in this dataset remains the same kind of object",5.07.NGPL;5.08.NGPL,2,origin,13.24751,80.32835,Tamil Nadu,1272039,"GeoNames IN.txt (2026-09-06), geonameid 1272039","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,13.2146,80.3203,3.76,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N019,Gurdaspur,Gurdaspur,,5.02.NGPL;5.15.NGPL,2,origin;terminus,32.03933,75.40318,Punjab,1270647,"GeoNames IN.txt (2026-09-06), geonameid 1270647","populated-place centroid, 4 in-state homonyms; resolved by agreement with the legacy node table (0.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,4,12,32.041,75.403,0.19,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N020,Guwahati,Guwahati,,17.20.NGPL,1,terminus,26.1844,91.7458,Assam,1271476,"GeoNames IN.txt (2026-09-06), geonameid 1271476","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,26.1445,91.7362,4.54,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N021,Haldia,Haldia,,17.20.NGPL,1,intermediate,22.06046,88.10975,West Bengal,1344377,"GeoNames IN.txt (2026-09-06), geonameid 1344377","populated-place centroid, 3 in-state homonyms; resolved by agreement with the legacy node table (4.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,3,5,22.0667,88.0698,4.17,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N022,Hazaribagh,Hazaribagh,,5.14.NGPL,1,origin,23.99241,85.36162,Jharkhand,1270164,"GeoNames IN.txt (2026-09-06), geonameid 1270164","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,,,,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N023,Hazira,Hazira,,17.03.NGPL;18.02.NGPL,2,origin,21.13419,72.64758,Gujarat,9036593,"GeoNames IN.txt (2026-09-06), geonameid 9036593","populated-place centroid, 4 in-state homonyms; resolved by agreement with the legacy node table (2.0 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,4,4,21.1162,72.6518,2.05,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N024,Hissar,Hisar,register spelling; gazetteer uses Hisar,17.09.NGPL,1,terminus,29.15394,75.72294,Haryana,1270022,"GeoNames IN.txt (2026-09-06), geonameid 1270022","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,3,29.1492,75.7217,0.54,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N025,Hyderabad,Hyderabad,,17.04.NGPL,1,intermediate,17.38405,78.45636,Telangana,1269843,"GeoNames IN.txt (2026-09-06), geonameid 1269843","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,17.385,78.4867,3.22,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N026,Jagdishpur,Jagdishpur,,17.03.NGPL;17.20.NGPL,2,intermediate;origin,26.50727,80.82631,Uttar Pradesh,10553282,"GeoNames IN.txt (2026-09-06), geonameid 10553282","populated-place centroid, 132 in-state homonyms; resolved by agreement with the legacy node table (10.3 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,132,135,26.555,80.915,10.3,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N027,Jammu,Jammu,,5.15.NGPL,1,terminus,32.73528,74.86167,Jammu and Kashmir,1269321,"GeoNames IN.txt (2026-09-06), geonameid 1269321","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,7,,,,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N028,Jamnagar,Jamnagar,,21.17.NGPL,1,origin,22.47292,70.06673,Gujarat,1269317,"GeoNames IN.txt (2026-09-06), geonameid 1269317","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,4,,,,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N029,Jhajjar,Jhajjar,,17.09.NGPL,1,intermediate,28.6063,76.6565,Haryana,1269042,"GeoNames IN.txt (2026-09-06), geonameid 1269042","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,28.6063,76.6565,0.0,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N030,Jharsuguda,Jharsuguda,,5.13.NGPL,1,terminus,21.85531,84.00698,Odisha,1268977,"GeoNames IN.txt (2026-09-06), geonameid 1268977","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,21.8554,84.0062,0.08,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N031,Kakinada,Kakinada,,17.04.NGPL;5.10.NGPL,2,origin,16.96036,82.23809,Andhra Pradesh,1268561,"GeoNames IN.txt (2026-09-06), geonameid 1268561","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,16.9891,82.2475,3.35,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N032,Kanai Chhata,Kanai Chhata,,5.11.NGPL,1,origin,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,,0,0,,,,"UNRESOLVED: 0 gazetteer match(es) for 'Kanai Chhata', none inside ['West Bengal']",Terminal,"UNKNOWN -- the register names the place, not the facility",unresolved,"A -- pipeline name, PNGRB register",
N033,Kochi,Kochi,,17.15.NGPL,1,origin,9.93988,76.26022,Kerala,1273874,"GeoNames IN.txt (2026-09-06), geonameid 1273874","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,5,9.9312,76.2673,1.24,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N034,Koottanad,Koottanad,,17.15.NGPL,1,intermediate,10.7578,76.11663,Kerala,11185664,"GeoNames IN.txt (2026-09-06), geonameid 11185664","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,10.683,76.021,13.35,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N035,Maharajganj,Maharajganj,,17.18.NGPL,1,terminus,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,,0,60,,,,"UNRESOLVED: 60 gazetteer match(es) for 'Maharajganj', none inside ['Tripura']",Terminal,"UNKNOWN -- the register names the place, not the facility",unresolved,"A -- pipeline name, PNGRB register",
N036,Mallavaram,Mallavaram,,5.03.NGPL,1,origin,16.48258,81.64326,Andhra Pradesh,10769282,"GeoNames IN.txt (2026-09-06), geonameid 10769282","populated-place centroid, 25 in-state homonyms; resolved by agreement with the legacy node table (12.6 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,25,28,16.56,81.73,12.63,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N037,Mangalore,Mangaluru,official renaming 2014 (Mangaluru),17.15.NGPL,1,terminus,12.91723,74.85603,Karnataka,1263780,"GeoNames IN.txt (2026-09-06), geonameid 1263780","populated-place centroid, 4 in-state homonyms; resolved by agreement with the legacy node table (0.3 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,4,4,12.9141,74.856,0.35,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N038,Mehsana,Mahesana,official spelling Mahesana; 1.99 km from the legacy node table,5.01.NGPL,1,origin,23.59864,72.38472,Gujarat,1264389,"GeoNames IN.txt (2026-09-06), geonameid 1264389","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,23.588,72.369,1.99,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N039,Mumbai,Mumbai,,5.13.NGPL,1,origin,19.07283,72.88261,Maharashtra,1275339,"GeoNames IN.txt (2026-09-06), geonameid 1275339","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,19.076,72.8777,0.62,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N040,Nagpur,Nagpur,,5.13.NGPL,1,intermediate,21.14631,79.08491,Maharashtra,1262180,"GeoNames IN.txt (2026-09-06), geonameid 1262180","populated-place centroid, 10 in-state homonyms; resolved by agreement with the legacy node table (0.3 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,10,26,21.1458,79.0882,0.35,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N041,Nangal,Nangal,,17.12.NGPL,1,terminus,31.38966,76.37574,Punjab,1261922,"GeoNames IN.txt (2026-09-06), geonameid 1261922","populated-place centroid, 45 in-state homonyms; resolved by agreement with the legacy node table (0.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,45,65,31.389,76.375,0.1,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N042,Nellore,Nellore,,5.07.NGPL;5.10.NGPL,2,terminus,14.44992,79.98697,Andhra Pradesh,1261529,"GeoNames IN.txt (2026-09-06), geonameid 1261529","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,,,,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N043,Panipat,Panipat,,17.10.NGPL,1,terminus,29.38747,76.96825,Haryana,1260476,"GeoNames IN.txt (2026-09-06), geonameid 1260476","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,3,29.3909,76.9635,0.6,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N044,Panitar,Panitar,,5.11.NGPL,1,terminus,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,,0,0,,,,"UNRESOLVED: 0 gazetteer match(es) for 'Panitar', none inside ['West Bengal']",Terminal,"UNKNOWN -- the register names the place, not the facility",unresolved,"A -- pipeline name, PNGRB register",
N045,Panvel,Panvel,,17.05.NGPL,1,intermediate,18.98878,73.11013,Maharashtra,1260434,"GeoNames IN.txt (2026-09-06), geonameid 1260434","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,18.9894,73.1175,0.78,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N046,Paradip,Paradip,,17.20.NGPL,1,intermediate,20.28333,86.7,Odisha,1260394,"GeoNames IN.txt (2026-09-06), geonameid 1260394","infrastructure feature (PRT), 2 in-state homonyms; resolved by agreement with the legacy node table (9.4 km) -- two independent sources concur","approximate_infrastructure_feature (PRT) -- a nearby mapped feature of that name, NOT the pipeline facility itself",2026-09-06,2,2,20.3167,86.6167,9.45,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N047,Phulpur,Phulpur,,5.05.NGPL,1,terminus,25.54895,82.0895,Uttar Pradesh,1259735,"GeoNames IN.txt (2026-09-06), geonameid 1259735","populated-place centroid, 56 in-state homonyms; resolved by agreement with the legacy node table (0.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,56,64,25.548,82.09,0.12,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N048,Ranchi,Ranchi,,5.14.NGPL,1,terminus,23.34316,85.3094,Jharkhand,1258526,"GeoNames IN.txt (2026-09-06), geonameid 1258526","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,4,,,,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N049,Shahdol,Shahdol,,5.05.NGPL,1,origin,23.29356,81.3619,Madhya Pradesh,1256739,"GeoNames IN.txt (2026-09-06), geonameid 1256739","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,23.298,81.356,0.78,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N050,Srikakulam,Srikakulam,,5.12.NGPL,1,origin,18.2989,83.89751,Andhra Pradesh,1255647,"GeoNames IN.txt (2026-09-06), geonameid 1255647","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (0.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,2,2,18.2969,83.8978,0.22,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N051,Taloja,Taloje,"gazetteer spells the settlement Taloje; 1.74 km from the legacy node table. The register means Taloja MIDC industrial estate, Raigad district",17.19.NGPL,1,terminus,19.08555,73.09837,Maharashtra,1255100,"GeoNames IN.txt (2026-09-06), geonameid 1255100","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,19.07,73.1,1.74,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N052,Trombay,Trombay,,17.14.NGPL,1,terminus,19.0,72.9,Maharashtra,1254161,"GeoNames IN.txt (2026-09-06), geonameid 1254161","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (2.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,2,2,19.0,72.92,2.1,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N053,Tuticorin,Thoothukudi,official renaming 2018 (Thoothukudi),5.08.NGPL,1,terminus,8.76735,78.13425,Tamil Nadu,8629640,"GeoNames IN.txt (2026-09-06), geonameid 8629640","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,1,8.7642,78.1348,0.36,resolved,Terminal,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N054,Uran,Uran,,17.04.NGPL;17.05.NGPL;17.14.NGPL;17.19.NGPL,4,intermediate;origin,18.87813,72.93924,Maharashtra,1253702,"GeoNames IN.txt (2026-09-06), geonameid 1253702","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,5,18.878,72.939,0.03,resolved,Interconnection,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
N055,Vijaipur,Vijaipur,,17.03.NGPL;17.11.NGPL;5.03.NGPL,3,intermediate;terminus,,,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,,3,3,24.043,77.16,,"AMBIGUOUS: 3 in-state matches, none within 25 km of the legacy coordinate. Needs manual review.",Interconnection,"UNKNOWN -- the register names the place, not the facility",ambiguous,"A -- pipeline name, PNGRB register",
N056,Vijayawada,Vijayawada,,5.10.NGPL,1,intermediate,16.50745,80.6466,Andhra Pradesh,1253184,"GeoNames IN.txt (2026-09-06), geonameid 1253184","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,1,2,,,,resolved,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",resolved,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained"
