edge_id,pipeline_id,from_node_id,from_node_name,to_node_id,to_node_name,geometry_available,length_km,is_bridge_stated,is_bridge_drawable,bridge_meaning,interconnection_basis,provenance_category
E015,5.05.NGPL,N049,Shahdol,N047,Phulpur,TRUE,260.485,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E016,17.18.NGPL,N016,Dukli,N035,Maharajganj,FALSE,NA,TRUE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E017,17.19.NGPL,N054,Uran,N051,Taloja,TRUE,28.424,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E018,17.09.NGPL,N011,Chainsa,N029,Jhajjar,FALSE,NA,TRUE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E019,17.09.NGPL,N029,Jhajjar,N024,Hissar,TRUE,109.443,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E020,17.12.NGPL,N013,Dadri,N006,Bawana,TRUE,57.633,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E021,17.12.NGPL,N006,Bawana,N041,Nangal,TRUE,294.202,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E022,5.01.NGPL,N038,Mehsana,N007,Bhatinda,TRUE,774.907,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E023,5.02.NGPL,N007,Bhatinda,N019,Gurdaspur,TRUE,207.872,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E024,5.03.NGPL,N036,Mallavaram,N009,Bhopal,TRUE,871.177,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E025,5.03.NGPL,N009,Bhopal,N008,Bhilwara,TRUE,363.749,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E026,5.03.NGPL,N008,Bhilwara,N055,Vijaipur,FALSE,NA,TRUE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E027,17.16.NGPL,N012,Dabhol,N004,Bangalore,TRUE,696.9,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E028,17.15.NGPL,N033,Kochi,N034,Koottanad,TRUE,91.827,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E029,17.15.NGPL,N034,Koottanad,N004,Bangalore,TRUE,293.066,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E030,17.15.NGPL,N004,Bangalore,N037,Mangalore,TRUE,297.12,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E031,5.08.NGPL,N018,Ennore,N053,Tuticorin,TRUE,550.506,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E032,17.20.NGPL,N026,Jagdishpur,N021,Haldia,TRUE,888.168,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E033,17.20.NGPL,N021,Haldia,N010,Bokaro,TRUE,268.556,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E034,17.20.NGPL,N010,Bokaro,N015,Dhamra,TRUE,327.363,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E035,17.20.NGPL,N015,Dhamra,N046,Paradip,TRUE,60.294,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E036,17.20.NGPL,N046,Paradip,N005,Barauni,TRUE,579.265,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E037,17.20.NGPL,N005,Barauni,N020,Guwahati,TRUE,583.823,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E038,5.13.NGPL,N039,Mumbai,N040,Nagpur,TRUE,687.942,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E039,5.13.NGPL,N040,Nagpur,N030,Jharsuguda,TRUE,516.004,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E040,5.12.NGPL,N050,Srikakulam,N002,Angul,TRUE,308.466,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E041,5.07.NGPL,N018,Ennore,N042,Nellore,TRUE,138.056,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E042,5.10.NGPL,N031,Kakinada,N056,Vijayawada,TRUE,176.954,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E043,5.10.NGPL,N056,Vijayawada,N042,Nellore,TRUE,238.421,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E044,5.11.NGPL,N032,Kanai Chhata,N044,Panitar,FALSE,NA,TRUE,NA,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E045,21.17.NGPL,N028,Jamnagar,N017,Dwarka,TRUE,116.109,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E046,5.14.NGPL,N022,Hazaribagh,N048,Ranchi,TRUE,72.104,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
E047,5.15.NGPL,N019,Gurdaspur,N027,Jammu,TRUE,92.479,TRUE,TRUE,removing this single segment disconnects part of the network from the rest,two pipelines naming the same place are treated as connected there; the register does not state physical interconnection (see script header),C
