pipeline_id,pipeline_name,pipeline_category,status,authorization_regulation,operator_code,operator_name,authorization_date,authorized_length_km,operating_length_km,under_construction_km,capacity_mmscmd,capacity_verbatim,target_completion,states_covered_verbatim,pdf_table,pdf_row,source_document,in_graph_scope,notes
17.13.NGPL,Mumbai Regional Network,Common Carrier,Operational,Reg 5/17/18,GAIL,,2011-03-14,129.0,125.0,,7.04,,,Maharashtra,T1_p3_4_Op_CC,11,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.14.NGPL,Uran-Trombay,Common Carrier,Operational,Reg 5/17/18,ONGC,Oil and Natural Gas Corporation Limited,2011-05-03,24.0,24.0,,6.0,,,Maharashtra,T1_p3_4_Op_CC,12,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
18.01.NGPL,High Pressure Gujarat Gas Grid,Common Carrier,Operational,Reg 5/17/18,GSPL,Gujarat State Petronet Limited,2012-07-27,2860.0,2738.0,,44.8,,,Gujarat,T1_p3_4_Op_CC,13,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
18.02.NGPL,Hazira-Ankleshwar (HAPi),Common Carrier,Operational,Reg 5/17/18,GGL,Gujarat Gas Limited,2012-07-05,73.0,73.0,,5.06,,,Gujarat,T1_p3_4_Op_CC,14,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
18.03.NGPL,Low Pressure Gujarat Gas Grid,Common Carrier,Operational,Reg 5/17/18,GSPL,Gujarat State Petronet Limited,2013-03-19,58.0,57.0,,12.0,,,Gujarat,T1_p3_4_Op_CC,15,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
5.05.NGPL,Shahdol-Phulpur,Common Carrier,Operational,Reg 5/17/18,RGPL,Reliance Gas Pipelines Limited,2013-07-11,312.0,304.0,,3.5,,,Madhya Pradesh and Uttar Pradesh,T1_p3_4_Op_CC,16,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
17.17.NGPL,Assam Regional Network,Common Carrier,Operational,Reg 5/17/18,AGCL,Assam Gas Company Limited,2013-12-20,105.0,107.0,,2.42,,,Assam,T1_p3_4_Op_CC,17,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
17.18.NGPL,Dukli - Maharajganj,Common Carrier,Operational,Reg 5/17/18,GAIL,,2014-01-09,5.2,0.0,,0.08,,,Agartala,T1_p3_4_Op_CC,18,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,"operating_length_km = 0 is a TRUE measured zero: the PDF reports 5.2 km authorized and 0 km operating (authorized but not in operation). It is not a missing value. Separately, the PDF 'States' cell reads 'Agartala' (a city, not a State); normalised to Tripura in 02_build_pipeline_states.py with a changelog entry. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred."
17.19.NGPL,Uran-Taloja,Common Carrier,Operational,Reg 5/17/18,DFPCL,Deepak Fertilizer and Petrochemical Corporation Ltd.,2014-10-21,42.0,42.0,,0.7,,,Maharashtra,T1_p3_4_Op_CC,19,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
17.09.NGPL,Chainsa-Jhajjar-Hissar,Common Carrier,Operational,Reg 5/17/18,GAIL,,2010-12-13,455.0,440.0,,35.0,,,"Haryana, Rajasthan and Delhi",T1_p3_4_Op_CC,20,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
17.12.NGPL,Dadri-Bawana-Nangal,Common Carrier,Operational,Reg 5/17/18,GAIL,,2011-02-15,921.0,998.0,,31.0,,,"Punjab, Haryana, Uttar Pradesh, Uttarakhand, Delhi, and Himachal Pradesh",T1_p3_4_Op_CC,21,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
21.01.NGPL,Jaigarh - Dabhol,Tie-in,Operational,Reg 5/17/18,WCPL,Western Concessions Private Limited,2015-05-18,60.0,60.0,,29.0,,,Maharashtra,T2_p5_Op_TieIn,1,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
21.03.NGPL,"ONGCs WHI North Penugonda to GAH, Peravali SV station",Tie-in,Operational,Reg 5/17/18,KRPEPL,Kei RSOS Petroleum & Energy Private Limited,2016-02-16,7.8,7.8,,0.05,,,Andhra Pradesh,T2_p5_Op_TieIn,2,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
21.06.NGPL,ONGC's Madnam field to GAIL's Cauvery Basin Network at SV-2 (Memathur),Tie-in,Operational,Reg 5/17/18,GAIL,,2017-12-21,29.0,30.0,,0.85,,,Andhra Pradesh,T2_p5_Op_TieIn,3,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
21.07.NGPL,"ONGC's S1-VA fields ex-Odalarevu to GAIL's KG Basin Network at SV-1, Bodaskurru",Tie-in,Operational,Reg 5/17/18,GAIL,,2018-01-09,13.6,14.0,,5.2,,,Andhra Pradesh,T2_p5_Op_TieIn,4,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
21.04.NGPL,Suvali to HVJ/DVPL Network,Tie-in,Operational,Reg 5/17/18,GAIL,,2017-01-24,7.0,10.0,,2.0,,,Gujarat,T2_p5_Op_TieIn,5,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
21.05.NGPL,ONGC's Bantumilli gas source field to GAIL's KG Basin Network,Tie-in,Operational,Reg 5/17/18,GAIL,,2017-12-21,41.0,38.0,,0.9,,,Andhra Pradesh,T2_p5_Op_TieIn,6,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
21.19.NGPL,"Vedanta Limited's Jaya Fields at Jambusar, Gujarat to South Gujarat Main subnetwork of GAIL's Gujarat Regional Network",Tie-in,Operational,Reg 5/17/18,GAIL,,2022-03-07,18.0,18.0,,0.1,,,Gujarat,T2_p5_Op_TieIn,7,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
21.15.NGPL,ONGC's Bokaro CBM Block to SV-01A on Bokaro-Dhamra Section of JHBDPL,Tie-in,Operational,Reg 5/17/18,GAIL,,2021-08-19,23.0,24.3,,0.99,,,Jharkhand,T2_p5_Op_TieIn,8,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
21.11.NGPL,HSEPL LNG Terminal at Chhara to GSPL's dispatch terminal at Londhpur,Tie-in,Operational,Reg 5/17/18,GSPL,Gujarat State Petronet Limited,2019-09-17,85.0,88.75,,18.0,,,Gujarat,T2_p5_Op_TieIn,9,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.01.NGPL,Duliajan to Numaligarh,Dedicated,Operational,Reg 5/17/18,DNPL,DNP Limited,2009-03-26,194.0,192.0,,1.2,,,Assam,T3_p6_8_Op_Ded,1,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.02.NGPL,Essar's LP gas gathering header to Phillips Carbon Black Ltd. Durgapur,Dedicated,Operational,Reg 5/17/18,EOGEPL,Essar Oil and Gas Exploration and Production Limited,2010-11-03,8.0,8.0,,0.7,,,West Bengal,T3_p6_8_Op_Ded,2,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.03.NGPL,Essar's LP Gas Gathering Header to Graphite India Ltd in Durgapur,Dedicated,Operational,Reg 5/17/18,EOGEPL,Essar Oil and Gas Exploration and Production Limited,2015-08-12,3.0,2.36,,0.06,,,West Bengal,T3_p6_8_Op_Ded,3,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.04.NGPL,"PLL Dahej Terminal to DGEN Power Plant, Dahej SEZ",Dedicated,Operational,Reg 5/17/18,TPL,Torrent Power Limited,2012-08-27,13.0,13.0,,8.0,,,Gujarat,T3_p6_8_Op_Ded,4,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.05.NGPL,EPS Akoljoni - Sapna Chemical (No Offtake),Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,3.4,3.4,,0.01,,,Gujarat,T3_p6_8_Op_Ded,5,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.06.NGPL,EPS Nanda - Supreme Glass,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.37,0.37,,0.01,,,Gujarat,T3_p6_8_Op_Ded,6,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.07.NGPL,Dahej GGS to GACL P/L,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,11.25,12.12,,0.22,,,Gujarat,T3_p6_8_Op_Ded,7,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.08.NGPL,GGS Olpad to CYA. & CHEM.,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,1.2,1.2,,0.05,,,Gujarat,T3_p6_8_Op_Ded,8,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.09.NGPL,Jolwa EPS to Nahar P/L,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.85,0.85,,0.04,,,Gujarat,T3_p6_8_Op_Ded,9,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.10.NGPL,Jolwa EPS to GACL (MDPE),Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,7.8,7.8,,0.13,,,Gujarat,T3_p6_8_Op_Ded,10,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.11.NGPL,Kim EPS to Spire cera P/L (MDPE),Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,1.2,1.2,,0.01,,,Gujarat,T3_p6_8_Op_Ded,11,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.12.NGPL,EPS Wasana - Universal Metal (Manglam Alloys),Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.61,0.61,,0.01,,,Gujarat,T3_p6_8_Op_Ded,12,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.13.NGPL,Motera GGS - RIL Sughad,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,3.72,3.72,,0.07,,,Gujarat,T3_p6_8_Op_Ded,13,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.14.NGPL,Kalol collector line T/O - BVM,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,1.7,1.7,,0.02,,,Gujarat,T3_p6_8_Op_Ded,14,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.15.NGPL,EPS Nandasan - Nirma,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,4.97,4.97,,0.01,,,Gujarat,T3_p6_8_Op_Ded,15,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.16.NGPL,EPS Nandasan - Sterling (N),Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,2.84,2.84,,0.01,,,Gujarat,T3_p6_8_Op_Ded,16,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.17.NGPL,EPS Nandasan - Sterling (K),Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.52,0.52,,0.02,,,Gujarat,T3_p6_8_Op_Ded,17,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.18.NGPL,EPS Wadu - Pioneer,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.35,0.35,,0.01,,,Gujarat,T3_p6_8_Op_Ded,18,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.19.NGPL,Sanand GGS - Jalaram,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,1.17,1.17,,0.03,,,Gujarat,T3_p6_8_Op_Ded,19,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.20.NGPL,Limbodara EPS - Akash,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.2,0.2,,0.03,,,Gujarat,T3_p6_8_Op_Ded,20,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.21.NGPL,Nandasan EPS - Akik Tiles,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,2.4,2.43,,0.01,,,Gujarat,T3_p6_8_Op_Ded,21,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.22.NGPL,Nallur - TNEB Thirumakkottai,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,9.8,10.21,,0.77,,,Tamil Nadu,T3_p6_8_Op_Ded,22,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.23.NGPL,Nallur - Prem Chemco,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.185,0.21,,0.12,,,Tamil Nadu,T3_p6_8_Op_Ded,23,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.24.NGPL,BVG-Neycer,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,16.55,16.32,,0.02,,,Tamil Nadu,T3_p6_8_Op_Ded,24,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.25.NGPL,AFL,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,1.7,1.71,,0.1,,,Andhra Pradesh,T3_p6_8_Op_Ded,25,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.26.NGPL,Hitech,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,0.46,0.46,,0.06,,,Andhra Pradesh,T3_p6_8_Op_Ded,26,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.27.NGPL,Steel Exchange,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,1.36,1.36,,0.05,,,Andhra Pradesh,T3_p6_8_Op_Ded,27,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.28.NGPL,Dandewala - Gamnewala-RSEB Ramgarh,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,65.19,65.32,,,0.075 / 0.108,,Rajasthan,T3_p6_8_Op_Ded,28,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,PDF capacity cell reads '0.075 / 0.108' (two values). capacity_mmscmd is NA; see capacity_verbatim. Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.29.NGPL,Langtala to Ramgarh,Dedicated,Operational,Reg 5/17/18,GAIL,,2012-12-14,86.21,88.0,,0.12,,,Rajasthan,T3_p6_8_Op_Ded,29,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Operator code not expanded in the PDF p.2 glossary; operator_name left NA rather than inferred.
19.31.NGPL,ONGC Kavitam to GAIL Kavitam SV Station,Dedicated,Operational,Reg 5/17/18,SCPL,Silica Ceramica Private Limited,2013-08-27,3.6,3.8,,0.02,,,Andhra Pradesh,T3_p6_8_Op_Ded,30,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.32.NGPL,"ONGC Kammapalem isolated well to GAIL SV terminal, Dindi in East Godavari",Dedicated,Operational,Reg 5/17/18,SEIL,Steel Exchange India Limited,2014-01-09,5.4,4.75,,0.05,,,Andhra Pradesh,T3_p6_8_Op_Ded,31,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.33.NGPL,ONGC's CTF Ankleshwar isolated well to GAIL's Common Carrier South Gujarat Network interconnection point,Dedicated,Operational,Reg 5/17/18,RCIPL,Recasil Ceramics Industries Private Limited,2015-05-20,0.53,0.53,,0.015,,,Gujarat,T3_p6_8_Op_Ded,32,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.34.NGPL,Bhadol Top to Torrent Hazira Akhakol,Dedicated,Operational,Reg 5/17/18,GSPL,Gujarat State Petronet Limited,2015-08-05,22.0,22.0,,0.48,,,Gujarat,T3_p6_8_Op_Ded,33,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.44.NGPL,LANCO Kondapalli Pipeline-I,Dedicated,Operational,Reg 5/17/18,PIL,Pipelines Infrastructure Limited,2015-08-12,12.0,12.0,,2.0,,,Andhra Pradesh,T3_p6_8_Op_Ded,34,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.36.NGPL,Sonamura GCS to GMS-Monarchak,Dedicated,Operational,Reg 5/17/18,ONGC,Oil and Natural Gas Corporation Limited,2015-08-12,13.0,10.5,,0.5,,,Tripura,T3_p6_8_Op_Ded,35,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Marked '*' in the PDF: latest data not submitted/available.
19.35.NGPL,ADB GCS to ONGC Colony Badarghat,Dedicated,Operational,Reg 5/17/18,ONGC,Oil and Natural Gas Corporation Limited,2015-08-12,11.0,10.79,,0.03,,,Tripura,T3_p6_8_Op_Ded,36,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,Marked '*' in the PDF: latest data not submitted/available.
19.37.NGPL,ONGC Hazira-KRIBHCO HP Pipeline,Dedicated,Operational,Reg 5/17/18,ONGC,Oil and Natural Gas Corporation Limited,2015-08-12,5.0,4.27,,2.0,,,Gujarat,T3_p6_8_Op_Ded,37,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.38.NGPL,ONGC Hazira-KRIBHCO LP Pipeline,Dedicated,Operational,Reg 5/17/18,ONGC,Oil and Natural Gas Corporation Limited,2015-08-12,5.0,4.86,,1.0,,,Gujarat,T3_p6_8_Op_Ded,38,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,"Entity cell is merged with 19.37.NGPL in the PDF ('ONGC' printed once across both rows); operator_code is inherited from that merged cell, not printed on this row."
19.39.NGPL,Essar's Main Compressor Station in Raniganj (East) CBM Block to Matix Fertilizer and Chemicals Ltd (MFCL) in Durgapur,Dedicated,Operational,Reg 5/17/18,EOGEPL,Essar Oil and Gas Exploration and Production Limited,2015-08-12,30.0,28.47,,3.0,,,West Bengal,T3_p6_8_Op_Ded,39,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.43.NGPL,ONGC Poondi Fields to Maharaj Soaps Industry Private Limited,Dedicated,Operational,Reg 5/17/18,MSIPL,Maharaj Soaps Industry Private Limited,2020-09-29,0.2,0.26,,0.002,,,Tamil Nadu,T3_p6_8_Op_Ded,40,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
19.41.NGPL,PLL's Dahej - Koyali Refinery Natural Gas Pipeline (DKPL),Dedicated,Operational,Reg 5/17/18,IOCL,Indian Oil Corporation Limited,2020-03-20,106.0,106.0,,5.23,,,Gujarat,T3_p6_8_Op_Ded,41,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",False,
5.01.NGPL,Mehsana-Bhatinda,Common Carrier,Under Construction,Reg 5/17/18,GIGL,GSPL India Gasnet Limited,2011-07-07,1943.0,1318.0,624.0,83.11,,June 2026,"Gujarat, Rajasthan, Haryana, Punjab",T4_p19_UC_CC,1,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
5.02.NGPL,Bhatinda-Gurdaspur,Common Carrier,Under Construction,Reg 5/17/18,GIGL,GSPL India Gasnet Limited,2011-07-07,261.0,101.0,160.0,42.42,,Dec 2024,Punjab,T4_p19_UC_CC,2,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,
5.03.NGPL,Mallavaram-Bhopal-Bhilwara-Vijaipur,Common Carrier,Under Construction,Reg 5/17/18,GITL,GSPL India Transco Limited,2011-07-07,1881.0,365.0,1517.0,78.25,,Mar 2020,"Andhra Pradesh, Telangana, Maharashtra, MP, Rajasthan, Gujarat",T4_p19_UC_CC,3,"20251231_NGPL.pdf (PNGRB, Natural Gas Pipeline Networks in India, December 2025)",True,Target completion 'Mar 2020' precedes the report date; transcribed verbatim from the PDF.
