node_id,node_name,node_class,facility_type,state_ut,latitude,longitude,coordinate_status,coordinate_source,coordinate_method,coordinate_accuracy,coordinate_date,name_provenance,coordinate_provenance,pipelines,n_pipelines,roles,legacy_delta_km,status
N014,Dahej,Interconnection,"UNKNOWN -- the register names the place, not the facility",Gujarat,21.7119,72.59113,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1273703","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.03.NGPL;17.05.NGPL;17.11.NGPL,3,origin;terminus,0.95,resolved
N015,Dhamra,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Odisha,20.7955,86.89654,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1273028","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.20.NGPL,1,intermediate,5.59,resolved
N016,Dukli,Terminal,"UNKNOWN -- the register names the place, not the facility",Tripura,23.7984,91.29642,resolved,"GeoNames IN.txt (2026-09-06), geonameid 13494748","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.18.NGPL,1,origin,6.99,resolved
N017,Dwarka,Terminal,"UNKNOWN -- the register names the place, not the facility",Gujarat,22.23944,68.96778,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1272140","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",21.17.NGPL,1,terminus,,resolved
N018,Ennore,Interconnection,"UNKNOWN -- the register names the place, not the facility",Tamil Nadu,13.24751,80.32835,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1272039","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.07.NGPL;5.08.NGPL,2,origin,3.76,resolved
N019,Gurdaspur,Interconnection,"UNKNOWN -- the register names the place, not the facility",Punjab,32.03933,75.40318,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1270647","populated-place centroid, 4 in-state homonyms; resolved by agreement with the legacy node table (0.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.02.NGPL;5.15.NGPL,2,origin;terminus,0.19,resolved
N020,Guwahati,Terminal,"UNKNOWN -- the register names the place, not the facility",Assam,26.1844,91.7458,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1271476","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.20.NGPL,1,terminus,4.54,resolved
N021,Haldia,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",West Bengal,22.06046,88.10975,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1344377","populated-place centroid, 3 in-state homonyms; resolved by agreement with the legacy node table (4.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.20.NGPL,1,intermediate,4.17,resolved
N022,Hazaribagh,Terminal,"UNKNOWN -- the register names the place, not the facility",Jharkhand,23.99241,85.36162,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1270164","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.14.NGPL,1,origin,,resolved
N023,Hazira,Interconnection,"UNKNOWN -- the register names the place, not the facility",Gujarat,21.13419,72.64758,resolved,"GeoNames IN.txt (2026-09-06), geonameid 9036593","populated-place centroid, 4 in-state homonyms; resolved by agreement with the legacy node table (2.0 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.03.NGPL;18.02.NGPL,2,origin,2.05,resolved
N024,Hissar,Terminal,"UNKNOWN -- the register names the place, not the facility",Haryana,29.15394,75.72294,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1270022","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.09.NGPL,1,terminus,0.54,resolved
N025,Hyderabad,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Telangana,17.38405,78.45636,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1269843","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.04.NGPL,1,intermediate,3.22,resolved
N026,Jagdishpur,Interconnection,"UNKNOWN -- the register names the place, not the facility",Uttar Pradesh,26.50727,80.82631,resolved,"GeoNames IN.txt (2026-09-06), geonameid 10553282","populated-place centroid, 132 in-state homonyms; resolved by agreement with the legacy node table (10.3 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.03.NGPL;17.20.NGPL,2,intermediate;origin,10.3,resolved
N027,Jammu,Terminal,"UNKNOWN -- the register names the place, not the facility",Jammu and Kashmir,32.73528,74.86167,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1269321","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.15.NGPL,1,terminus,,resolved
N028,Jamnagar,Terminal,"UNKNOWN -- the register names the place, not the facility",Gujarat,22.47292,70.06673,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1269317","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",21.17.NGPL,1,origin,,resolved
N029,Jhajjar,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Haryana,28.6063,76.6565,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1269042","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.09.NGPL,1,intermediate,0.0,resolved
N030,Jharsuguda,Terminal,"UNKNOWN -- the register names the place, not the facility",Odisha,21.85531,84.00698,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1268977","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.13.NGPL,1,terminus,0.08,resolved
N031,Kakinada,Interconnection,"UNKNOWN -- the register names the place, not the facility",Andhra Pradesh,16.96036,82.23809,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1268561","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.04.NGPL;5.10.NGPL,2,origin,3.35,resolved
N032,Kanai Chhata,Terminal,"UNKNOWN -- the register names the place, not the facility",,,,unresolved,UNRESOLVED,UNRESOLVED,UNRESOLVED,,"A -- pipeline name, PNGRB register",,5.11.NGPL,1,origin,,"UNRESOLVED: 0 gazetteer match(es) for 'Kanai Chhata', none inside ['West Bengal']"
N033,Kochi,Terminal,"UNKNOWN -- the register names the place, not the facility",Kerala,9.93988,76.26022,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1273874","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.15.NGPL,1,origin,1.24,resolved
N034,Koottanad,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Kerala,10.7578,76.11663,resolved,"GeoNames IN.txt (2026-09-06), geonameid 11185664","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.15.NGPL,1,intermediate,13.35,resolved
N035,Maharajganj,Terminal,"UNKNOWN -- the register names the place, not the facility",,,,unresolved,UNRESOLVED,UNRESOLVED,UNRESOLVED,,"A -- pipeline name, PNGRB register",,17.18.NGPL,1,terminus,,"UNRESOLVED: 60 gazetteer match(es) for 'Maharajganj', none inside ['Tripura']"
N036,Mallavaram,Terminal,"UNKNOWN -- the register names the place, not the facility",Andhra Pradesh,16.48258,81.64326,resolved,"GeoNames IN.txt (2026-09-06), geonameid 10769282","populated-place centroid, 25 in-state homonyms; resolved by agreement with the legacy node table (12.6 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.03.NGPL,1,origin,12.63,resolved
N037,Mangalore,Terminal,"UNKNOWN -- the register names the place, not the facility",Karnataka,12.91723,74.85603,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1263780","populated-place centroid, 4 in-state homonyms; resolved by agreement with the legacy node table (0.3 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.15.NGPL,1,terminus,0.35,resolved
N038,Mehsana,Terminal,"UNKNOWN -- the register names the place, not the facility",Gujarat,23.59864,72.38472,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1264389","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.01.NGPL,1,origin,1.99,resolved
N039,Mumbai,Terminal,"UNKNOWN -- the register names the place, not the facility",Maharashtra,19.07283,72.88261,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1275339","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.13.NGPL,1,origin,0.62,resolved
N040,Nagpur,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Maharashtra,21.14631,79.08491,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1262180","populated-place centroid, 10 in-state homonyms; resolved by agreement with the legacy node table (0.3 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.13.NGPL,1,intermediate,0.35,resolved
N041,Nangal,Terminal,"UNKNOWN -- the register names the place, not the facility",Punjab,31.38966,76.37574,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1261922","populated-place centroid, 45 in-state homonyms; resolved by agreement with the legacy node table (0.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.12.NGPL,1,terminus,0.1,resolved
N042,Nellore,Interconnection,"UNKNOWN -- the register names the place, not the facility",Andhra Pradesh,14.44992,79.98697,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1261529","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.07.NGPL;5.10.NGPL,2,terminus,,resolved
N043,Panipat,Terminal,"UNKNOWN -- the register names the place, not the facility",Haryana,29.38747,76.96825,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1260476","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.10.NGPL,1,terminus,0.6,resolved
N044,Panitar,Terminal,"UNKNOWN -- the register names the place, not the facility",,,,unresolved,UNRESOLVED,UNRESOLVED,UNRESOLVED,,"A -- pipeline name, PNGRB register",,5.11.NGPL,1,terminus,,"UNRESOLVED: 0 gazetteer match(es) for 'Panitar', none inside ['West Bengal']"
N045,Panvel,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Maharashtra,18.98878,73.11013,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1260434","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.05.NGPL,1,intermediate,0.78,resolved
N046,Paradip,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Odisha,20.28333,86.7,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1260394","infrastructure feature (PRT), 2 in-state homonyms; resolved by agreement with the legacy node table (9.4 km) -- two independent sources concur","approximate_infrastructure_feature (PRT) -- a nearby mapped feature of that name, NOT the pipeline facility itself",2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.20.NGPL,1,intermediate,9.45,resolved
N047,Phulpur,Terminal,"UNKNOWN -- the register names the place, not the facility",Uttar Pradesh,25.54895,82.0895,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1259735","populated-place centroid, 56 in-state homonyms; resolved by agreement with the legacy node table (0.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.05.NGPL,1,terminus,0.12,resolved
N048,Ranchi,Terminal,"UNKNOWN -- the register names the place, not the facility",Jharkhand,23.34316,85.3094,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1258526","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.14.NGPL,1,terminus,,resolved
N049,Shahdol,Terminal,"UNKNOWN -- the register names the place, not the facility",Madhya Pradesh,23.29356,81.3619,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1256739","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.05.NGPL,1,origin,0.78,resolved
N050,Srikakulam,Terminal,"UNKNOWN -- the register names the place, not the facility",Andhra Pradesh,18.2989,83.89751,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1255647","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (0.2 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.12.NGPL,1,origin,0.22,resolved
N051,Taloja,Terminal,"UNKNOWN -- the register names the place, not the facility",Maharashtra,19.08555,73.09837,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1255100","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.19.NGPL,1,terminus,1.74,resolved
N052,Trombay,Terminal,"UNKNOWN -- the register names the place, not the facility",Maharashtra,19.0,72.9,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1254161","populated-place centroid, 2 in-state homonyms; resolved by agreement with the legacy node table (2.1 km) -- two independent sources concur",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.14.NGPL,1,terminus,2.1,resolved
N053,Tuticorin,Terminal,"UNKNOWN -- the register names the place, not the facility",Tamil Nadu,8.76735,78.13425,resolved,"GeoNames IN.txt (2026-09-06), geonameid 8629640","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.08.NGPL,1,terminus,0.36,resolved
N054,Uran,Interconnection,"UNKNOWN -- the register names the place, not the facility",Maharashtra,18.87813,72.93924,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1253702","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",17.04.NGPL;17.05.NGPL;17.14.NGPL;17.19.NGPL,4,intermediate;origin,0.03,resolved
N055,Vijaipur,Interconnection,"UNKNOWN -- the register names the place, not the facility",,,,ambiguous,UNRESOLVED,UNRESOLVED,UNRESOLVED,,"A -- pipeline name, PNGRB register",,17.03.NGPL;17.11.NGPL;5.03.NGPL,3,intermediate;terminus,,"AMBIGUOUS: 3 in-state matches, none within 25 km of the legacy coordinate. Needs manual review."
N056,Vijayawada,IntermediateRoutePoint,"UNKNOWN -- the register names the place, not the facility",Andhra Pradesh,16.50745,80.6466,resolved,"GeoNames IN.txt (2026-09-06), geonameid 1253184","populated-place centroid, unique match inside the register's States Covered",approximate_city_centroid -- NOT a pipeline facility location,2026-09-06,"A -- pipeline name, PNGRB register","B -- GeoNames gazetteer, state-constrained",5.10.NGPL,1,intermediate,,resolved
